العنوان,المدينة,المصدر,التاريخ,الوصف
"فرصة وظيفية مميزة | فني هندسة كهربائية – شركة البوارق العربية للتجارة – الرياض! 🌟 ","الرياض","reactions","20260102","فرصة وظيفية مميزة | فني هندسة كهربائية – شركة البوارق العربية للتجارة – الرياض! 🌟   تعلن شركة البوارق العربية للتجارة عن توفر شاغر وظيفي بمسمى فني هندسة كهربائية للانضمام إلى فريق العمل في مدينة الري"
"فرصة وظيفية مميزة | أخصائية مشتريات – الرياض! 🌟 ","الرياض","reactions","20260102","فرصة وظيفية مميزة | أخصائية مشتريات – الرياض! 🌟   تعلن شركة رائدة عن توفر شاغر وظيفي بمسمى أخصائية مشتريات للانضمام إلى فريق العمل بشكل عاجل، والمساهمة في إدارة عمليات الشراء والموردين بكفاءة عالية و"
"فرصة وظيفية مميزة | محامي – شركة صناعية – الرياض (المدينة الصناعية الثانية)! 🌟 ","الرياض","reactions","20260102","فرصة وظيفية مميزة | محامي – شركة صناعية – الرياض (المدينة الصناعية الثانية)! 🌟   تعلن شركة رائدة في مجال الصناعة عن توفر شاغر وظيفي بمسمى محامي للانضمام إلى فريق العمل، والمساهمة في تقديم الاستشارات "
"سنة جديدة… وبدايات أقوى.","KSA","reactions","20260102","سنة جديدة… وبدايات أقوى.  مش مجرد تغيير تاريخ، دي مرحلة جديدة مبنية على اللي اتعمل صح، وخطوات محسوبة مبنية على خبرة حقيقية في السوق.  في أزيدك، كل بداية معناها: تفكير أوضح، تنفيذ أدق، وحلول تشتغل وقت "
"فرصة وظيفية مميزة | مهندس مدني – شركة عايد عيد العصيمي للجيوتقنية – الخبر! 🌟","الخبر","reactions","20260102","فرصة وظيفية مميزة | مهندس مدني – شركة عايد عيد العصيمي للجيوتقنية – الخبر! 🌟  تعلن شركة عايد عيد العصيمي للجيوتقنية عن توفر شاغر وظيفي بمسمى مهندس مدني للانضمام إلى فريق العمل في الخبر، والمساهمة في "
"فرصة وظيفية مميزة | مصمم/مصممة جرافيك – شركة Play Cinemas – الرياض! 🌟 ","الرياض","reactions","20260102","فرصة وظيفية مميزة | مصمم/مصممة جرافيك – شركة Play Cinemas – الرياض! 🌟   تعلن شركة رائدة في مجال السينما والترفيه بالرياض عن توفر شاغر وظيفي بمسمى مصمم/مصممة جرافيك للانضمام إلى فريقها الإبداعي، والمس"
"إعلان وظيفي مميز | محاسب / محاسبة – المدينة الصناعية، جدة! 🌟 ","جدة","reactions","20260102","إعلان وظيفي مميز | محاسب / محاسبة – المدينة الصناعية، جدة! 🌟   تعلن شركة صناعية رائدة عن توفر شواغر وظيفية في قسم المحاسبة، وتدعو الخريجين الجدد وأصحاب الخبرة حتى سنتين للانضمام إلى فريقها المالي وال"
"تعلن شركة كبرى في مجال الصيانة والتشغيل عن توفر شواغر وظيفية لديها للعمل في منطقة الرياض، وفق التفاص","الرياض","reactions","20260102","تعلن شركة كبرى في مجال الصيانة والتشغيل عن توفر شواغر وظيفية لديها للعمل في منطقة الرياض، وفق التفاصيل التالية:  🔹 الوظائف المتاحة:  فني كهرباء  فني تكييف وتبريد  🔹 شروط التقديم:  خبرة عملية لا تقل "
"إعلان وظيفة – مهندس أتمتة ( هندسة اتصالات )","المدينة","reactions","20260102","إعلان وظيفة – مهندس أتمتة ( هندسة اتصالات ) 📍 الموقع: المدينة المنورة  المتطلبات:  • درجة البكالوريوس في هندسة الاتصالات   • إجادة اللغتين العربية والإنجليزية    📧 يرجى إرسال السيرة الذاتية إلى: has"
"إعلان وظيفي مميز | أخصائية إدارة منصات التواصل الاجتماعي – الرياض! 🌟 ","الرياض","reactions","20260102","إعلان وظيفي مميز | أخصائية إدارة منصات التواصل الاجتماعي – الرياض! 🌟   تعلن شركة رائدة في مجال الصيانة والمقاولات عن توفر شاغر وظيفي بمسمى أخصائية إدارة منصات التواصل الاجتماعي للانضمام إلى فريقها ال"
"فرصة وظيفية مميزة | مسؤول أمن وسلامة – منطقة القصيم! 🌟 ","الخبر","reactions","20260102","فرصة وظيفية مميزة | مسؤول أمن وسلامة – منطقة القصيم! 🌟   تعلن شركة صناعية رائدة عن توفر شاغر وظيفي بمسمى مسؤول أمن وسلامة للانضمام إلى فريقها، والمساهمة في تعزيز ثقافة السلامة والصحة المهنية ورفع مست"
"فرصة وظيفية مميزة | أخصائي قانوني – شركة المنارة الكهربائية للتجارة – الرياض! 🌟 ","الرياض","reactions","20260102","فرصة وظيفية مميزة | أخصائي قانوني – شركة المنارة الكهربائية للتجارة – الرياض! 🌟   تعلن شركة المنارة الكهربائية للتجارة عن توفر شاغر وظيفي بمسمى أخصائي قانوني للانضمام إلى فريق العمل، والمساهمة في تقد"
"فرص تدريب تعاوني مميزة | Johnson Controls Arabia – جميع مناطق المملكة! 🌟 ","المدينة","reactions","20260102","فرص تدريب تعاوني مميزة | Johnson Controls Arabia – جميع مناطق المملكة! 🌟   يسرّنا في Johnson Controls Arabia الإعلان عن فرص تدريب تعاوني للمهندسين والفنيين، لتمكين المتدربين من اكتساب خبرة عملية قيمة"
"إعلان وظيفي مميز | مشرف جودة – شركة روز للحلويات (الرياض)! 🌟 ","الرياض","reactions","20260102","إعلان وظيفي مميز | مشرف جودة – شركة روز للحلويات (الرياض)! 🌟   تعلن شركة روز للحلويات عن توفر شاغر وظيفي بمسمى مشرف جودة للعمل في مدينة الرياض، ضمن بيئة صناعية غذائية احترافية تهدف إلى تطبيق أعلى معا"
"فرصة وظيفية مميزة | ممثل/ة مبيعات – معارض شركة المصباح التجارية – الرياض! 🌟 ","الرياض","reactions","20260102","فرصة وظيفية مميزة | ممثل/ة مبيعات – معارض شركة المصباح التجارية – الرياض! 🌟   تعلن شركة المصباح التجارية المتخصصة في العطور والتجميل والهدايا عن توفر شواغر وظيفية للانضمام إلى فريق المبيعات في معارضه"
"فرصة وظيفية مميزة | مسؤول مستودع – منطقة القصيم! 🌟 ","القصيم","reactions","20260102","فرصة وظيفية مميزة | مسؤول مستودع – منطقة القصيم! 🌟   تعلن شركة صناعية رائدة عن توفر شاغر وظيفي بمسمى مسؤول مستودع للانضمام إلى فريق عمل احترافي وديناميكي، والمساهمة في رفع كفاءة العمليات اللوجستية وإ"
"إعلان توظيف مميز | مسؤول موارد بشرية (HR Officer) – الرياض! 🌟 ","الرياض","reactions","20260102","إعلان توظيف مميز | مسؤول موارد بشرية (HR Officer) – الرياض! 🌟   تعلن شركة سعودية رائدة في مجال التسويق عن توفر شاغر وظيفي بمسمى مسؤول موارد بشرية (HR Officer) للانضمام إلى فريق عمل احترافي وديناميكي،"
"✔️عندي احتياج لموظفة اخصائي مشتريات لشركة في الرياض خبرة ٢ - ٣ سنوات ، متمكنة من اللغة الانجليزية ..","الرياض","reactions","20260102","✔️عندي احتياج لموظفة اخصائي مشتريات لشركة في الرياض خبرة ٢ - ٣ سنوات ، متمكنة من اللغة الانجليزية .. التوظيف بشكل عاجل والراتب سيتم تحديده بعد المقابلة ارسل السيرة الذاتية الى Careers@goldenpetrol.com"
"تعلن شركة روز للحلويات عن توفر شاغر وظيفي بمسمى:","الرياض","reactions","20260102","تعلن شركة روز للحلويات عن توفر شاغر وظيفي بمسمى: مشرف جودة في مدينة الرياض  المهام الوظيفية: الإشراف على تطبيق معايير سلامة وجودة الأغذية متابعة عمليات الإنتاج والتخزين وفق الاشتراطات الصحية التأكد من"
"إعلان توظيف مميز | موظف استقبال – Front Desk Receptionist – الرياض! 🌟 ","الرياض","reactions","20260102","إعلان توظيف مميز | موظف استقبال – Front Desk Receptionist – الرياض! 🌟   تعلن شركة رائدة في المشاريع الحكومية والبُنى التحتية عن حاجتها لتوظيف موظف استقبال للانضمام إلى فريق العمل، والمساهمة في تقديم "
"hashtag","الدمام","reactions","20260102","hashtag #اعلان_وظيفي  المسمى الوظيفي:معقب سعودي  الراتب 5500  6 أيام عمل  الموقع الدمام   هدف الوظيفة: إتمام كافة الإجراءات الحكومية نيابة عن الشركة أو العميل بكفاءة وسرعة، وضمان متابعة المعاملات مع م"
"✔️‏تعلن شركة طبية كبرى متخصصة في مجال السماعات الطبية عن توفر فرصة وظيفية: فني أجهزة طبية","المدينة","reactions","20260102","✔️‏تعلن شركة طبية كبرى متخصصة في مجال السماعات الطبية عن توفر فرصة وظيفية: فني أجهزة طبية 📍 الموقع: سكاكا المتطلبات: ‏-درجة الدبلوم في تقنية الاجهزة الطبية ‏-خبرة سنة-سنتين في نفس المجال -تصنيف فني أ"
"شواغر وظيفية 🟢محاسب 🟢سكرتارية 🟢موارد بشرية 🟢مبيعات 🟢إدارة المخازن 🟢تسويق","جدة","reactions","20260102","شواغر وظيفية 🟢محاسب 🟢سكرتارية 🟢موارد بشرية 🟢مبيعات 🟢إدارة المخازن 🟢تسويق في شركة أغذية بمدينة جدة  الشروط: - الجدية والالتزام في العمل - التفرغ التام للعمل - القدرة على العمل ضمن فريق - مؤهل منا"
"فرصة وظيفية مميزة | محامي/ة – الدمام! 🌟","الدمام","feed","20260102","فرصة وظيفية مميزة | محامي/ة – الدمام! 🌟  تعلن شركة قانونية رائدة في الدمام عن توفر شاغر وظيفي لمتخصص/ة في المحاماة للانضمام إلى فريق عمل احترافي، مع فرصة توظيف مباشر براتب ثابت + عمولة.  🌟 المهام وا"
"هل أنت ","المدينة","feed","20260102","هل أنت  hashtag #فني_صيدلي  hashtag #سعودي  hashtag #مصنف من هيئة التخصصات الصحية و ترغب في العمل في مجال صناعة الدواء.  لدينا فرصة لحديثي التخرج, للعمل في قسم المستودعات.  نبحث عن أشخاص, يكون لديهم ح"
"شواغر وظيفية بعدة مسميات ","جدة","_keywords=%23jeddah","20260102","شواغر وظيفية بعدة مسميات    . استشاري صيانة   . فني صيانة  . مسؤول وحدة تحكم الجودة  . مدير ورشة صيانة  . بائع قطع غيار  في مدينة  hashtag #جدة لشركة كبرى في مجال السيارات :   نأمل مراعاة متطلبات التو"
